SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,BIRTHS2010,BIRTHS2011,BIRTHS2012,DEATHS2010,DEATHS2011,DEATHS2012,NATURALINC2010,NATURALINC2011,NATURALINC2012,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,NETMIG2010,NETMIG2011,NETMIG2012,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,RBIRTH2011,RBIRTH2012,RDEATH2011,RDEATH2012,RNATURALINC2011,RNATURALINC2012,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RDOMESTICMIG2011,RDOMESTICMIG2012,RNETMIG2011,RNETMIG2012
50,1,2,36,93,New York,Schenectady County,154727,154727,154940,154854,155124,213,-86,270,453,1859,1799,348,1498,1490,105,361,309,104,419,438,3,-932,-473,107,-513,-35,1,66,-4,4434,4434,4554,4554,12.00152359,11.60727536,9.670942626,9.61358548,2.330580967,1.993689875,2.705023338,2.826007007,-6.016901554,-3.051829485,-3.311878216,-0.225822478
50,1,2,36,95,New York,Schoharie County,32749,32749,32686,32633,32099,-63,-53,-534,70,284,269,58,279,272,12,5,-3,1,13,14,-62,-64,-552,-61,-51,-538,-14,-7,7,1556,1556,1467,1334,8.6957853,8.311190756,8.542690488,8.403880616,0.153094812,-0.09268986,0.39804651,0.432552679,-1.959613589,-17.05493419,-1.561567078,-16.62238151
50,1,2,36,97,New York,Schuyler County,18343,18344,18311,18491,18514,-33,180,23,39,164,157,50,201,187,-11,-37,-30,0,4,5,-15,172,50,-15,176,55,-7,41,-2,354,354,376,412,8.9125591,8.485339819,10.92331939,10.10674233,-2.010760285,-1.621402513,0.21737949,0.270233752,9.347318081,2.702337522,9.564697571,2.972571274
50,1,2,36,99,New York,Seneca County,35251,35248,35219,35349,35305,-29,130,-44,115,355,368,92,324,316,23,31,52,1,9,10,-50,86,-101,-49,95,-91,-3,4,-5,2809,2809,2834,2870,10.06121755,10.41696153,9.182632355,8.944999575,0.878585194,1.471961955,0.255073121,0.283069607,2.437365378,-2.859003029,2.692438499,-2.575933422
50,1,2,36,101,New York,Steuben County,98990,98989,98936,99287,99063,-53,351,-224,294,1144,1098,263,984,972,31,160,126,20,103,106,-99,76,-450,-79,179,-344,-5,12,-6,1583,1583,1575,1575,11.54255561,11.07133854,9.928212165,9.800857071,1.614343442,1.270481472,1.039233591,1.068817746,0.766813135,-4.537433829,1.806046725,-3.468616083
50,1,2,36,103,New York,Suffolk County,1493350,1493350,1494763,1500338,1499273,1413,5575,-1065,4244,16808,16231,2635,11559,11677,1609,5249,4554,818,3585,3753,-1023,-2786,-9463,-205,799,-5710,9,-473,91,29406,29406,29538,29538,11.22366157,10.82206993,7.718604481,7.785676209,3.505057092,3.036393719,2.393909254,2.502324468,-1.86037132,-6.309484797,0.533537934,-3.807160328
50,1,2,36,105,New York,Sullivan County,77547,77545,77427,77079,76793,-118,-348,-286,213,835,819,154,707,727,59,128,92,21,75,77,-171,-520,-445,-150,-445,-368,-27,-31,-10,3825,3825,3861,3892,10.80864174,10.6452116,9.151748152,9.449412499,1.656893583,1.195799106,0.970836084,1.00083186,-6.731130183,-5.784028283,-5.760294099,-4.783196423
50,1,2,36,107,New York,Tioga County,51125,51125,51071,51051,50478,-54,-20,-573,116,483,516,94,419,430,22,64,86,1,1,2,-69,-90,-663,-68,-89,-661,-8,5,2,523,523,516,516,9.459274201,10.16458352,8.205871409,8.470486265,1.253402793,1.694097253,0.019584419,0.039397611,-1.762597677,-13.06030789,-1.743013259,-13.02091028
50,1,2,36,109,New York,Tompkins County,101564,101564,101651,101763,102554,87,112,791,216,861,876,163,647,589,53,214,287,178,719,732,-147,-837,-220,31,-118,512,3,16,-8,13232,13232,13131,13131,8.465494017,8.574910556,6.361410719,5.765550591,2.104083298,2.809359965,7.069326595,7.165336218,-8.229522058,-2.15351635,-1.160195463,5.011819868
50,1,2,36,111,New York,Ulster County,182493,182494,182395,182582,181791,-99,187,-791,415,1672,1595,373,1540,1589,42,132,6,67,293,316,-198,-268,-1115,-131,25,-799,-10,30,2,11773,11773,11766,11927,9.162221181,8.754765035,8.43888793,8.721831749,0.723333251,0.032933285,1.605580626,1.734486364,-1.468585692,-6.120102203,0.136994934,-4.385615839
50,1,2,36,113,New York,Warren County,65707,65705,65686,65736,65538,-19,50,-198,150,638,631,159,640,629,-9,-2,2,6,32,35,-10,58,-232,-4,90,-197,-6,-38,-3,738,738,738,738,9.709181111,9.613480202,9.739617416,9.583009583,-0.030436304,0.030470619,0.486980871,0.533235827,0.882652828,-3.53459177,1.369633699,-3.001355943
